קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
חלקים ללא סיווג מופשר,קצביה בשרית מופשר,"ק""ג",289,39.59,100.0
קצפות,מוצרי חלב ותחליפיו,ליטר,110,38.11,100.0
בשר בקר חלקי פנים,קצביה בשרית טרי,"ק""ג",706,37.46,100.0
תכשירי טיפול לעובש ולחות,ניקוי הבית,יח' באריזה,449,36.41,100.0
עלי בייבי,עלים ותבלינים טריים,"ק""ג",882,35.71,100.0
שום מצונן/בצל מטוגן,סלטים ארוזים,"ק""ג",636,35.41,100.0
שמפו+מרכך,טיפוח השיער,ליטר,457,35.16,100.0
מסטיקים עם סוכר,מסטיקים,"ק""ג",762,30.62,99.61
סלרי ראש,עלים ותבלינים טריים,"ק""ג",675,29.71,96.99
לאבנה מעדניה,מעדניה חלבית,"ק""ג",342,28.53,100.0
בירה ללא אלכוהול,בירה לבנה,ליטר,656,27.49,100.0
קצביה טרי ארוז,קצביה בשרית טרי,"ק""ג",195,27.31,100.0
מסירי אבנית וניקוי מכונות כביסה,תכשירי כביסה,יח' באריזה,322,26.07,100.0
משקאות טקילה,משקאות חריפים,ליטר,151,23.68,100.0
מרק קפוא,ירקות ופירות קפואים,"ק""ג",168,23.33,100.0
מיץ 100% ירק,משקאות לא אלכוהולים,ליטר,354,22.21,100.0
חזה בגריל צמחוני,מזון מוכן קפוא מן הצומח,"ק""ג",52,21.68,100.0
רוקט,עלים ותבלינים טריים,"ק""ג",521,21.49,96.94
מוצרי אפטר שייב,מוצרי גילוח,ליטר,392,20.62,100.0
דג במגש/קרטונית,דגים קפואים,"ק""ג",229,20.17,100.0
אביזרי טיפול לתינוק,אביזרים ומוצרי תינוקות,יח' באריזה,798,17.77,100.0
בעלי כנף קפואים,בשר ועוף קפוא,"ק""ג",98,17.65,100.0
קורנית,עלים ותבלינים טריים,"ק""ג",531,17.32,100.0
עולש,עלים ותבלינים טריים,"ק""ג",252,16.45,100.0
עירית,עלים ותבלינים טריים,"ק""ג",502,16.13,100.0
חמוצים טריים,מזון מקורר ארוז,"ק""ג",412,15.09,100.0
חלקי פנים הודו טרי,קצביה הודו/בעלי כנף טרי,"ק""ג",472,14.33,100.0
רוזמרין,עלים ותבלינים טריים,"ק""ג",523,12.87,100.0
תכשירי ניקוי כלי כסף ונחושת,ניקוי הבית,ליטר,413,12.7,99.09
חלקי עוף/הודו מתובל טרי ארוז,עוף/הודו טרי ארוז,"ק""ג",137,12.32,100.0
שמפו לגבר,טיפוח השיער,ליטר,258,11.26,100.0
נקניקים מן הצומח,מזון מקורר ארוז,"ק""ג",179,10.24,100.0
קופסאות שימורי בשר,שימורים,"ק""ג",566,10.19,100.0
תכשירי הגנה מהשמש לתינוקות,מוצרי שיזוף והגנה מהשמש,ליטר,153,9.2,100.0
תה בתפזורת,תה,"ק""ג",258,8.82,100.0
אפטרסאן,מוצרי שיזוף והגנה מהשמש,ליטר,150,8.61,100.0
קרם עיניים,טיפוח פנים,ליטר,276,8.52,100.0
