month,CR3 ללא מאגדים,CR3 עם מאגדים,HHI,CR3 ללא מאגדים_se,CR3 עם מאגדים_se,HHI_se
2023-11,-1.3629176589987724,-0.7589960962955877,-0.5231202569454267,0.9238914075454397,0.824869612760242,0.7250437005220114
2023-12,-1.2346271003950393,-1.1553523537473738,-0.6522272346706833,0.987257152901474,0.8953980368835345,0.7662902022196433
2024-01,-1.349861706845753,-1.1694335575282504,-0.6423881822346943,0.9263232780128978,0.8445561703552479,0.7379324463750729
2024-02,-1.474030781561552,-1.150209473789019,-0.7375613230818254,0.9631034145224991,0.8806274944886477,0.7501612098260751
2024-03,-2.0297114981028535,-1.1359747423958944,-0.5092933044910655,0.9873146579241104,0.8848693330827924,0.7821062486587038
2024-04,-2.7743097198085787,-1.9106108637980352,-1.0439690877491756,1.1410722328316587,1.1362538403125506,0.9985718322814313
2024-05,-2.292520319833583,-1.3055374738806989,-0.4280963713492648,0.9919717358328118,0.9251115597035071,0.7639820031668423
2024-06,-1.2716890955562685,-1.1152380332846283,-0.32357327222456356,1.010920409751099,0.9129957178132155,0.7315024727055794
2024-07,-0.9061849971413447,-0.7227106906979142,-0.04052136197197974,1.0022177195197217,0.9274894990109604,0.7560374956851407
2024-08,-0.5092718620207922,-0.30307767644223477,0.07834603732246535,1.0918911306332582,0.9733834148978574,0.78239596614354
2024-09,-0.603049996507054,-0.6109112592197558,-0.07655341979117575,1.061919890781921,0.928297296196371,0.7943785776081955
2024-10,-2.0811242294225467,-1.1837972516905313,-0.8902459239407314,1.1092256122879107,0.9134156856383768,0.8588346738917492
2024-11,-0.7956181490847272,-0.7436801834373558,-0.2718412766654369,1.0755875588343706,0.9763061737873292,0.8300252927849363
2024-12,0.078240930462949,-0.7280470060737133,-0.08470766974875069,1.0550799700619826,1.0042269452669672,0.835761707408063
2025-01,-0.3762257091461402,-0.619614677389884,-0.0038668015442869536,1.0492132861906267,0.9905525396221829,0.8362614094960955
2025-02,0.03643125194850402,-0.3428298518707329,0.1797165815753788,1.094434432910495,0.9846383367658738,0.8436085432388002
2025-03,-0.6142495196393413,-0.12025770468838226,0.2355660318900418,1.1233107726462377,1.0273097951756718,0.8735204683487039
2025-04,-1.118250061613976,-0.6713455526376332,0.1701483408378387,1.1957104442328685,1.1503437459026287,0.9375257636532001
2025-05,-0.6185495636927894,-0.42354149581111417,0.08566653696490772,1.1970069751563461,1.0610850911632992,0.9080614061409303
2025-06,-0.26257661211289135,-0.32836270168223414,0.4325857472643556,1.0226212421980543,0.977507802204497,0.8225075838520527
2025-07,0.20947326980188208,0.04314391748705816,0.5769447449640671,1.1240260674412876,1.0895693717765744,0.9179269979907037
2025-08,-0.13610363750358662,-0.3527673443800024,0.43698571874724573,1.0751407445395416,1.0476644138904838,0.8596335715884603
2025-09,0.11779245978120509,0.07343811571756637,0.841803678735679,1.155332825160543,1.0590516411206248,0.9116218203931291
2025-10,0.006886822322208031,-0.20320854637844785,0.6165614057632705,1.1732167792719392,1.060565302992659,0.905239123681881
