sample,weighted,control,phase,term,measure,coef_pct,F,p
פאנל מלא,True,True,כל התקופה,ענקיות,CR3 עם מאגדים,0.3672434832013225,2.7247980798818983,5.13061172082567e-08
פאנל מלא,True,True,כל התקופה,ענקיות,HHI,0.12809661898676983,2.827163817036102,1.5618910185408283e-08
פאנל מלא,True,True,כל התקופה,ייבוא,CR3 ללא מאגדים,-1.2256199902639264,8.131803357379598,3.2222231089272115e-33
פאנל מלא,True,True,כל התקופה,ייבוא,CR3 עם מאגדים,-1.2355082914360822,7.766199066364523,9.74183693501658e-32
פאנל מלא,True,True,כל התקופה,ייבוא,HHI,-1.2216639567487886,8.000401346489117,1.0878164394570915e-32
פאנל מלא,True,True,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-1.2514005275238695,7.387080291908492,3.325770904526046e-17
פאנל מלא,True,True,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.9060385955940817,2.6151670796603383,0.00020502951432041275
פאנל מלא,True,True,פיחות 2/22-10/23,ריכוזיות,HHI,-0.6524804969004854,2.80087368907328,6.779104607991705e-05
פאנל מלא,True,True,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.5155527443445105,2.1069910922563833,0.0037135875694912454
פאנל מלא,True,True,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-1.1774821986036839,2.5538929987475876,0.0002940242332656484
פאנל מלא,True,True,פיחות 2/22-10/23,ענקיות,HHI,-1.504471809293405,2.6940669349109645,0.00012843116624495617
פאנל מלא,True,True,פיחות 2/22-10/23,ייבוא,CR3 ללא מאגדים,-0.6975453294477579,4.336112946841479,4.800122475053168e-09
פאנל מלא,True,True,פיחות 2/22-10/23,ייבוא,CR3 עם מאגדים,-0.7206822887217367,3.511303079003273,8.599682336909827e-07
פאנל מלא,True,True,פיחות 2/22-10/23,ייבוא,HHI,-0.6771718977352668,3.226616726700019,5.044285902589193e-06
פאנל מלא,True,True,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,-1.3124443590294892,6.893664158511094,3.1845232000667325e-21
פאנל מלא,True,True,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,-0.841729613206498,3.65957841377446,1.5811675227313836e-09
פאנל מלא,True,True,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.8080126229121092,3.0139388476710627,4.0283757201636617e-07
פאנל מלא,True,True,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,2.130291517806743,2.107696130934011,0.0006546603423623533
פאנל מלא,True,True,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,1.3502507352590538,2.041340610905121,0.0010819965112978242
פאנל מלא,True,True,ייסוף 11/23-7/26,ענקיות,HHI,1.1670038006196086,1.9723751954973614,0.001807968360137282
פאנל מלא,True,True,ייסוף 11/23-7/26,ייבוא,CR3 ללא מאגדים,-1.561667501692398,4.849204908886551,5.824995326919577e-14
פאנל מלא,True,True,ייסוף 11/23-7/26,ייבוא,CR3 עם מאגדים,-1.5631248386179384,5.036376713932648,1.1964780461279972e-14
פאנל מלא,True,True,ייסוף 11/23-7/26,ייבוא,HHI,-1.568158903393757,4.990013659260505,1.7693550085447965e-14
ללא בשר ועוף,False,False,כל התקופה,ריכוזיות,CR3 ללא מאגדים,0.36441782772006026,2.5134146243348314,7.866945512404226e-07
ללא בשר ועוף,False,False,כל התקופה,ריכוזיות,CR3 עם מאגדים,-0.4475193391022757,1.3463277526213782,0.06797780020467525
ללא בשר ועוף,False,False,כל התקופה,ריכוזיות,HHI,-0.10671574994808578,1.5628344690726061,0.012258617078977838
ללא בשר ועוף,False,False,כל התקופה,ענקיות,CR3 ללא מאגדים,0.9365039119119459,2.510162333102014,8.155566920356633e-07
ללא בשר ועוף,False,False,כל התקופה,ענקיות,CR3 עם מאגדים,1.3716021200950808,2.468528059580262,1.2923179364527914e-06
ללא בשר ועוף,False,False,כל התקופה,ענקיות,HHI,1.215543612358965,2.4190871617739806,2.2270459510714137e-06
ללא בשר ועוף,False,False,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-0.10927402233357075,3.194266619482375,7.056325763439382e-06
ללא בשר ועוף,False,False,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.2283998181775448,2.395956490620673,0.0007832259497918226
ללא בשר ועוף,False,False,פיחות 2/22-10/23,ריכוזיות,HHI,-0.0190690730395971,1.881444007186674,0.01264763711363251
ללא בשר ועוף,False,False,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.32343465870804994,1.7657589252002135,0.02254034458429463
ללא בשר ועוף,False,False,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-0.2951335018568328,1.8232635203301255,0.016959185463783905
ללא בשר ועוף,False,False,פיחות 2/22-10/23,ענקיות,HHI,-0.38801413745811586,1.8283034021379503,0.01653719708585763
ללא בשר ועוף,False,False,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,0.6658580959360073,1.708701027413033,0.012138650826500202
ללא בשר ועוף,False,False,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,-0.5869590342361954,0.9500727123387626,0.5503633776644709
ללא בשר ועוף,False,False,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.1624909079807604,1.1976362437947583,0.22047924797044663
ללא בשר ועוף,False,False,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,1.7382830023064892,2.1187559606862694,0.0006569128903986649
ללא בשר ועוף,False,False,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,2.4322520613372074,2.115733412742479,0.0006720055843869421
ללא בשר ועוף,False,False,ייסוף 11/23-7/26,ענקיות,HHI,2.2359894531516527,2.088102935025309,0.0008265204433225917
ללא בשר ועוף,False,True,כל התקופה,ריכוזיות,CR3 ללא מאגדים,0.44082411744702743,2.431814696984457,1.9364100936870736e-06
ללא בשר ועוף,False,True,כל התקופה,ריכוזיות,CR3 עם מאגדים,-0.3930916774000295,1.3993986116392418,0.04595364171254487
ללא בשר ועוף,False,True,כל התקופה,ריכוזיות,HHI,-0.05396206809449442,1.5711756532857284,0.011411618118692204
ללא בשר ועוף,False,True,כל התקופה,ענקיות,CR3 ללא מאגדים,0.8588806609186079,2.488921627024354,1.0316698690806419e-06
ללא בשר ועוף,False,True,כל התקופה,ענקיות,CR3 עם מאגדים,1.3228009443263935,2.456266681796177,1.4794360103648715e-06
ללא בשר ועוף,False,True,כל התקופה,ענקיות,HHI,1.1699169951723356,2.4064720781172273,2.557660701469843e-06
ללא בשר ועוף,False,True,כל התקופה,ייבוא,CR3 ללא מאגדים,0.7573584927820044,4.229753652826995,3.2023620745786018e-15
ללא בשר ועוף,False,True,כל התקופה,ייבוא,CR3 עם מאגדים,0.6880692518763326,4.099488859369523,1.3558292850144918e-14
ללא בשר ועוף,False,True,כל התקופה,ייבוא,HHI,0.7138282856900042,4.118694837292167,1.0954142917125314e-14
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-0.08995733268696067,3.1333526018977667,1.0203862696189717e-05
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.21388784064759617,2.345708753399527,0.001040077768367446
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ריכוזיות,HHI,-0.004343292762454843,1.8773172650736174,0.012915793652142814
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.3430590149506194,1.7518612466454102,0.024124034913694213
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-0.3081452966694232,1.8260840639844318,0.016721797535885447
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ענקיות,HHI,-0.40075045302673573,1.830845904458656,0.016328059286468504
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ייבוא,CR3 ללא מאגדים,0.19147191950655457,3.0935733803684595,1.2975269142662216e-05
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ייבוא,CR3 עם מאגדים,0.18345902083603305,2.9488629372358597,3.0960037953085216e-05
ללא בשר ועוף,False,True,פיחות 2/22-10/23,ייבוא,HHI,0.1992596179347543,2.981083582385681,2.552640055942119e-05
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,0.7785941311686562,1.678346911195841,0.014820667724013793
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,-0.5071304826061234,0.9302912586815455,0.5814063319556622
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.0855376523967014,1.2667501586632481,0.15962750365828984
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,1.62375136374448,2.114881051882586,0.0006763222732006682
ללא בשר ועוף,False,True,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,2.3606758249600954,2.111261287817909,0.0006949561410042699
