ctg,imp_share_v3,rev_resolved,rev_total,resolved_pct
עלי בייבי שטופים,0.0,1.2185467232310343,1.9453171338141708,62.64000362973401
עלי חסה שטופים,0.0,1.9903603246446355,3.338638285555364,59.61593183831683
עלי תרד שטופים,0.0,0.5870470421203791,1.3378911005293497,43.87853704147581
עלים לבישול אחרים,0.0,0.23019120290549377,0.5452682906441227,42.216135956405985
ערק + אניס,5.591796460862231,9.69110678678472,10.084765437763755,96.09650166472959
פופ קורן למיקרו,93.77456692127463,2.7507856605264527,4.415448527448412,62.29912189953825
פטרוזליה,0.0,1.2516432823095833,7.822730059450893,16.000082743459014
פיצוחים,22.5009692367564,17.557212325065866,26.757668239514214,65.615629014857
פירות יבשים,44.37875365664332,12.8715376012335,18.499748794949824,69.57682368501811
פירות ים קפואים,95.82151787098985,1.8008836016864915,3.505252294520299,51.37671843198797
פירות קפואים,11.171585558448468,3.072267760782565,4.553124919174493,67.47602614293271
פיתות ארוזות,8.798570331649193,23.124554678036166,31.912245026036512,72.4629516324199
פסטה,50.395071294626305,18.92604816795847,23.01668969710901,82.22749846749535
פסטרמות ונקניקים ארוזים,0.0,32.11342238432866,34.16229614949209,94.00252911514586
פתי בר,6.759867589176741,10.249296122330579,12.299696084773236,83.32966970638397
פתיתים,1.8638280874913464,5.782709200352716,6.407790674530174,90.24497668655056
קוסקוס,40.83651443891056,4.910041960877748,5.560993305495682,88.29433324484263
קופסאות שימורי בשר,66.75273855500005,0.015677092421348463,0.25439743384620517,6.162441257495537
קורנית,0.0,0.13123052975204214,0.26201268378589926,50.085563742889526
קטניות,31.697799632202532,14.793154410131674,19.298232444822204,76.65548879892748
קטשופ,33.237486911344824,10.358654491725716,10.479730295457665,98.84466679658321
קמח,3.987236092298157,16.227240257110562,24.32749187371448,66.70330152137004
קפה אספרסו,46.017265516520034,13.369488550645308,15.110408485768339,88.47867060137581
קפה טורקי,0.9554679325448756,24.995530441398852,26.163030541749873,95.53759608051531
קפה נמס,68.3582898621956,35.251499409147556,35.90137245010875,98.18983789028034
קצביה טרי ארוז,0.0,0.44984677537574,0.619774805932669,72.58229458017215
קציצות מן הצומח,24.972582387605748,3.790222658628252,4.20715816890943,90.08985415945854
קצפות,100.0,0.8708584932064032,0.8708584932064032,100.0
קרם עיניים,79.51795279987594,0.20422864132032,0.4360714503580025,46.83375652147234
קרם פנים,89.67114006505156,1.4879097708966642,2.4662692498517442,60.330386513399034
קרם פנים לגבר,99.92553326207822,0.1992030323065852,0.22454914491304864,88.71244305282119
קרקרים,4.156867265873728,15.197223315985203,16.302628850339584,93.21946451396178
רוזמרין,0.0,0.05626627777060442,0.15616282121538244,36.0305207940634
רוקט,0.0,0.05655878868391527,0.22944086560689886,24.650704020973087
ריבות/קונפיטורות,63.19856652529723,5.818816310917417,7.001740326567573,83.10528582213139
שום מצונן/בצל מטוגן,0.0,0.4837655873467139,0.6505641080114576,74.3609402039428
שוקו,7.050249133257131,7.014018050178819,7.696908851120656,91.12772654385262
שוקולד טבלאות מאגדת,7.437733373599896,13.900047403374344,15.381011061797441,90.37148044122121
שטיפות פה,84.68972237034744,5.106595249036655,5.431083284038977,94.02535335895259
שימורי דגים,74.43987594438906,3.3029794662982144,6.992445257384814,47.236400782829065
שימורי זיתים ירוקים/מיקס,1.4806259669383082,11.31907523725902,12.971507962198793,87.26105916324265
שימורי זיתים שחורים,17.37688394560756,1.9723707365054246,2.2212577227898707,88.79522246649312
שימורי טונה,81.55634666447922,43.328422476472866,47.53381270793153,91.15284469752424
שימורי ירקות,15.809149029432268,11.032941698117709,13.643565133769515,80.86553323815497
שימורי ירקות כבושים,17.519277379892923,1.724012074579266,2.540516078624072,67.86070314945539
שימורי מלפפונים,3.4922788265888247,11.384106907313194,13.984368517945937,81.40594187505954
שימורי עגבניות,36.75035510840814,23.52303771482252,27.449737636970536,85.69494552523751
שימורי פיטריות,89.32956894588449,2.5092457738696137,3.6259115636519543,69.20317083912398
שימורי פירות וקוקטלים,58.959896333906435,3.326265735544785,4.637204472480487,71.72997773301836
שמיר,0.0,0.8202465817676285,2.524298813553511,32.49403665538904
שמן זית,21.454944446730543,18.180806670862644,26.680123146133955,68.1436385105183
שמנים רגילים,40.81305234159491,33.00099158007885,51.55117752028416,64.01598017250673
שמפו,41.91868085765055,16.901058504101513,18.028999054439197,93.74374280606578
שמפו לגבר,0.174610113270178,0.21447784036456588,0.25373433036456583,84.52850666931977
שמפו+מרכך,82.5379399307546,0.5364640699582414,0.5503104707605626,97.48389290445725
שמפו/מרכך לילדים,6.372882637804997,2.4177546684763263,2.7563707873397982,87.71514629240887
שניצל  מן הצומח,0.6069551041414532,11.651089070287338,12.05134146277927,96.67877311643589
תבלינים במיכל,18.01951329267627,8.91101901627691,10.66007764253356,83.59244008432049
תבלינים בשקית,27.0503780735346,3.165997722620801,4.570270959017001,69.27374221378247
תבלינים ורטבים קפואים,0.14296165325771198,2.8941210445399883,3.6152005201784467,80.05423290869449
תבלינים טריים אחרים,0.0,1.98e-05,0.05544939581595902,0.03570823398277915
תה בתפזורת,10.089475818611056,0.30968087952401385,0.36099958033004387,85.78427687946011
תה ירוק,7.829914833626408,12.4558154320831,12.996795365831074,95.83758981717736
תה פירות,20.018625740717994,0.06935165375587879,0.1449047099244475,47.86017914258159
תה קר,3.517208445161567,9.153458795183946,9.168369541768328,99.83736752193012
תה שחור בטעמים,11.47164598078379,4.867631746690132,5.1829228979158515,93.91673082089444
תה שחור טהור,9.275860877195106,4.451379061205386,4.53670033870747,98.11930982581951
תחליף קפה,30.98146244535839,0.15389601637670972,0.18039026008712328,85.31281916350827
תחליפי חלב אם חלבי,49.77688211714344,49.85247916536648,49.86888735536648,99.96709734090702
תחליפי חלב וטופו,13.880486072282894,10.007902004964702,12.64997164743124,79.11402716066128
תחליפי לחם,6.5604661480674595,21.855253436789262,28.28311811858429,77.27313991744283
תכשיר הגנה מהשמש לפנים,10.3916112544622,0.09639292463341956,0.1207201093352856,79.84827479380407
תכשירי הגנה מהשמש לילדים,6.35328438457958,0.023565606533117196,0.03193619813988676,73.78964280561904
תכשירי הגנה מהשמש למבוגרים,45.93839280184627,0.10804087364938304,0.13505377397523638,79.99841135072134
תכשירי הגנה מהשמש לתינוקות,0.0,0.012845178363627448,0.02003162535313512,64.12449383003795
תכשירי טיפוח וניקוי תינוקות,22.92929851724348,6.989989056955954,8.600077284416908,81.27821211120524
תכשירי טיפול לעובש ולחות,54.53666581059507,0.5304097757448634,0.5306783588854633,99.94938871425545
תכשירי ניקוי כלי כסף ונחושת,40.959904999554034,0.22326880163805496,0.23488869389513753,95.05302189543865
תכשירי ניקוי רצפות,12.627011331186386,10.516596293138484,12.763686984924131,82.39465842087944
תכשירי ניקוי שטיחים,37.860892634137414,0.31258062565440325,0.328623503063878,95.11815884746493
תכשירים לגילוח,88.3548663576907,1.5169707446448424,1.6565552725255897,91.57380799809135
תכשירים לניקוי חלונות,35.174910761658836,1.6689843427959719,2.023071419253979,82.49754936538132
תכשירים לפתיחת סתימות,0.730953317946111,0.7817616872168631,0.8625411167430862,90.63471549840519
תערובות לסלט,6.923222885492751,0.0973967912040453,0.1306427387232262,74.5520127302182
תרד,0.0,0.2930131101712081,0.9885796414242323,29.639808255515803
