weighted,spec,term,phase,b,se,pc,F,pj
False,עם בקרת ייבוא v2,ייבוא,מ־2025 ואילך,0.10859442870069189,0.35322494485569295,0.7585107445963406,1.793442466132755,0.026350477462815138
False,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,כל התקופה,0.1269504967245243,0.43103222305053085,0.768355466763041,1.3993986116395727,0.0459536417124302
False,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,לפני 2025,0.05887620479473532,0.5568986319481707,0.9158032557674574,1.7180794019534131,0.009271175359459075
False,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,מ־2025 ואילך,0.2630990805841023,0.4465961716690296,0.5557802612726375,0.7870659025112178,0.7149272033780432
False,עם בקרת ייבוא v1 (להשוואה),ענקיות,כל התקופה,-1.7391151693184053,0.8907991393532799,0.05090153059196329,2.456266681796004,1.479436010367687e-06
False,עם בקרת ייבוא v1 (להשוואה),ענקיות,לפני 2025,-2.5201887300290897,1.1412846100114913,0.027230086889225104,2.2767451588671137,0.00012358987977026972
False,עם בקרת ייבוא v1 (להשוואה),ענקיות,מ־2025 ואילך,-0.1769680478970352,0.8770992220343552,0.8401003347764386,1.6912753866604557,0.0410579296258449
False,עם בקרת ייבוא v1 (להשוואה),ייבוא,כל התקופה,-0.17219940453225,0.39620577727696343,0.663837451615339,4.099488859370136,1.3558292850052952e-14
False,עם בקרת ייבוא v1 (להשוואה),ייבוא,לפני 2025,-0.42720673349185706,0.5254853364535059,0.41623207312440147,3.598229473540405,1.2542749215594768e-09
False,עם בקרת ייבוא v1 (להשוואה),ייבוא,מ־2025 ואילך,0.33781525338696416,0.37985879739264383,0.37383221819483436,2.0166392428399735,0.009510142345802018
True,בלי בקרת ייבוא,ריכוזיות,כל התקופה,-0.2803119767073872,0.6592809456280428,0.6707066741985536,4.87079443000405,3.0076886697409062e-18
True,בלי בקרת ייבוא,ריכוזיות,לפני 2025,-0.6579323465111682,0.8577273084784761,0.4430430444088882,4.223563938581864,4.936361140859681e-12
True,בלי בקרת ייבוא,ריכוזיות,מ־2025 ואילך,0.4749287629001746,0.6546691246341612,0.4681769017079852,3.4178494990978696,6.699558628178783e-06
True,בלי בקרת ייבוא,ענקיות,כל התקופה,-1.6850127612266559,1.181213010201838,0.1537210383710377,3.1172681402248537,8.754849773973081e-10
True,בלי בקרת ייבוא,ענקיות,לפני 2025,-2.6806245997895406,1.5354096195946525,0.08083365628072359,2.9505437433247756,3.8748291904743853e-07
True,בלי בקרת ייבוא,ענקיות,מ־2025 ואילך,0.30621091589911265,1.3163062588931378,0.8160495610272824,1.9030198030440966,0.01610375761287326
True,עם בקרת ייבוא v2,ריכוזיות,כל התקופה,0.26971514747281683,0.5468305412450694,0.6218476025397279,4.143008549167116,8.364244076406358e-15
True,עם בקרת ייבוא v2,ריכוזיות,לפני 2025,0.1575788223239742,0.6542375065894223,0.8096646005207133,3.1266373327344823,8.218879427652732e-08
True,עם בקרת ייבוא v2,ריכוזיות,מ־2025 ואילך,0.4939877977705022,0.6848434239667853,0.4707157630065124,2.3244038540749585,0.002135529543869096
True,עם בקרת ייבוא v2,ענקיות,כל התקופה,-1.2103768183934178,1.1074048546671178,0.27440041612860855,3.0371170608136717,2.1747960935767452e-09
True,עם בקרת ייבוא v2,ענקיות,לפני 2025,-1.9768940099789127,1.3945191573714009,0.15630262553676708,3.042698651982304,1.7233196447834493e-07
True,עם בקרת ייבוא v2,ענקיות,מ־2025 ואילך,0.32265756477757174,1.3456700324843907,0.8105049579906609,1.7464151058749469,0.03238260462304846
True,עם בקרת ייבוא v2,ייבוא,כל התקופה,1.2065197130069107,0.3747956077396287,0.0012857547830645273,8.338322598545771,9.34296370139896e-33
True,עם בקרת ייבוא v2,ייבוא,לפני 2025,1.7888759628782855,0.5399025907797487,0.0009219182073192552,3.7510891427992004,3.226930320051638e-10
True,עם בקרת ייבוא v2,ייבוא,מ־2025 ואילך,0.04180721326416066,0.39944537887554527,0.9166431000586235,4.319231924024018,4.6946139117700684e-08
True,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,כל התקופה,0.06185246385192846,0.5719206466319513,0.9138777523306201,4.7731690704911545,8.56501341594729e-18
True,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,לפני 2025,-0.2557763429440708,0.7332615228561316,0.7272243876158901,3.809569658076101,1.920393884032398e-10
True,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,מ־2025 ואילך,0.6971100774439271,0.6552202255149704,0.2873592893370467,3.336045367567964,1.0458381479841213e-05
True,עם בקרת ייבוא v1 (להשוואה),ענקיות,כל התקופה,-1.621876288414449,1.1323976125119142,0.15207233544272397,3.0813748349016548,1.3159893110358766e-09
True,עם בקרת ייבוא v1 (להשוואה),ענקיות,לפני 2025,-2.606418432883517,1.477531806215634,0.07772601685044059,2.9623653707834294,3.492920713998627e-07
True,עם בקרת ייבוא v1 (להשוואה),ענקיות,מ־2025 ואילך,0.347208000523687,1.3213134968040094,0.7927240952625281,1.9251754756280282,0.014549651564484694
True,עם בקרת ייבוא v1 (להשוואה),ייבוא,כל התקופה,0.9542313998453237,0.37017970819968854,0.009944540580341957,7.75996852594865,1.5028099828079306e-30
True,עם בקרת ייבוא v1 (להשוואה),ייבוא,לפני 2025,1.1215364332209612,0.5132100829350023,0.02886422489105808,3.1313174630652587,7.886041217814983e-08
True,עם בקרת ייבוא v1 (להשוואה),ייבוא,מ־2025 ואילך,0.6196213330940485,0.48604690808081874,0.2023736784153355,5.748997612029831,1.8171933846886596e-11
