ctg,dep,rev,fx_v2,fx_dom,fx_imp,imp_share,unk_share,identified,n_pairs,simple_score,complex_score
סוכריות גלי,סוכריות,176.1834190037,38.88297745267146,29.520000000000003,46.800000000000004,49.27772145116302,6.926977284620365,90.94532492259077,31,55.0,67.58759055083254
סוכריות לעיסות,סוכריות,292.2566407871212,44.9864440586817,29.520000000000003,46.800000000000004,77.18611867441855,12.429062505794773,86.23676687630537,33,55.0,74.24624827683715
סוכריות מרעננות,סוכריות,130.72301758481655,45.76891914138501,29.520000000000003,46.800000000000004,89.38508553117313,4.558595354487586,95.05704745891285,11,55.0,77.5560731567857
סוכריות מרשמלו,סוכריות,134.9155517296942,31.441880040613988,29.520000000000003,46.800000000000004,9.137801451328338,7.186391601054889,82.15976322253113,25,55.0,58.19669126053537
סוכריות קשות,סוכריות,207.920450072376,37.71136181426855,29.520000000000003,46.800000000000004,24.850819865398787,43.91391063764568,52.42378215134872,43,55.0,61.23628362581681
סילאן,רטבים וממרחים,217.43522274349118,32.20521492268633,28.105,47.45,14.369986974841355,8.995919411977274,67.79825040151255,29,55.0,58.04185608416184
סכיני גילוח חד פעמי,מוצרי גילוח,152.36762893389772,37.400000000000006,24.99,37.400000000000006,37.27834899693177,37.57764301464824,37.27834899693177,8,90.0,91.05849041968833
סכיני/מכשיר גילוח גברים,מוצרי גילוח,286.19868203268624,37.40000000000001,24.99,37.400000000000006,93.35582057941001,3.3664759759049248,93.35582057941001,8,90.0,92.81507757020132
סכיני/מכשיר גילוח נשים,מוצרי גילוח,193.1642299760247,37.400000000000006,24.99,37.400000000000006,78.499122185404,14.84451721936174,78.499122185404,6,90.0,92.39304985613386
סלט חומוס חלק,סלטים ארוזים,826.191330848023,29.5293620732189,21.240000000000002,46.800000000000004,27.548448145634058,5.179180322754193,84.94481582332163,18,15.0,28.04149194392065
סלט חומוס מועשר / תוספות,סלטים ארוזים,621.2626908674474,29.746861070514615,21.240000000000002,46.800000000000004,31.883800011192545,0.6777655646270331,95.79913454925884,9,15.0,30.27907485342345
סלט חצילים,סלטים ארוזים,378.30994835284775,25.68218445065793,21.240000000000002,46.800000000000004,14.11691375152472,8.098642648135417,81.22767514427049,16,15.0,22.286588767639568
סלט טחינה,סלטים ארוזים,219.95795581606194,30.85703716600785,21.240000000000002,46.800000000000004,31.741709472301306,9.800257767084268,84.36258279001848,14,55.0,62.820077398001146
סלטי דגים,סלטים ארוזים,106.66269226234601,31.16236664892957,21.240000000000002,46.800000000000004,30.329649458208056,15.695121672053096,78.1291266066478,14,15.0,30.38049881825389
סלטי ירקות,סלטים ארוזים,517.4147821863188,25.447514830546147,21.240000000000002,46.800000000000004,11.582363550195106,22.624599299813482,70.36106211527216,27,15.0,20.62134682533879
סלטים וממרחים טבעוניים,סלטים ארוזים,3.518076997601691,21.24,21.240000000000002,46.800000000000004,0.0,0.0,100.0,1,,
סלטים מזרחיים,סלטים ארוזים,192.67892536246163,26.499538892306273,21.240000000000002,46.800000000000004,18.07640108673642,8.692156147793693,87.84663850529763,12,15.0,23.624722587202207
סלק עלים,עלים ותבלינים טריים,82.88888167971643,19.763818846654377,8.84,40.8,9.014256247867687,8.085558762294568,25.17308877796456,12,15.0,19.11708714874417
סלרי עלים,עלים ותבלינים טריים,395.2634527660617,16.540588254254615,8.84,40.8,9.40547460332944,7.589235419455952,39.03584484683055,18,15.0,19.219228141496444
סלרי ראש,עלים ותבלינים טריים,33.66026710399087,8.84,8.84,40.8,0.0,11.42997937420799,46.69513626307256,7,15.0,15.000000000000002
עוגות אישיות,מאפים מתוקים ומלוחים,432.26695904014883,43.42076054144943,31.390000000000004,49.64,54.18640339447271,6.532816505010598,82.19778446608392,59,55.0,68.84242486833328
עוגות מדף ארוזות,מאפים מתוקים ומלוחים,601.4700108340224,31.74336470420773,31.390000000000004,49.64,1.6020388566976456,9.632425556300536,82.73947224096709,62,55.0,55.28517237069977
עוגיות בייסיק,מאפים מתוקים ומלוחים,1832.763928528395,38.40984723468413,31.390000000000004,49.64,21.775384437057713,27.334833468571,56.611027660658955,167,55.0,59.97055529476103
עוגיות פרימיום,מאפים מתוקים ומלוחים,2545.2765865800984,41.374134542405436,31.390000000000004,49.64,49.57311767850851,8.488224994614377,90.61470413787234,83,55.0,66.9336755846436
עולש,עלים ותבלינים טריים,17.742450655508197,13.013245905631658,8.84,40.8,0.0,55.01256881463194,10.377450490955631,4,15.0,15.0
עוף טרי ארוז,עוף/הודו טרי ארוז,7344.71717876164,36.51068897655215,30.24,50.4,17.770124348977117,0.6363386241278723,57.13019864562861,35,15.0,24.008210158206342
עוף קפוא,בשר ועוף קפוא,1435.7107622139729,53.17371344456459,51.6475,56.940000000000005,23.80304848724695,7.375580395489158,82.54260540516718,38,25.0,35.429227613661126
עירית,עלים ותבלינים טריים,17.22766124654492,13.126653938028012,8.84,40.8,0.23185255291441842,13.187589681248296,11.077548191138076,6,15.0,15.0
עישבי תיבול אחרים,עלים ותבלינים טריים,1.4940426633055428,15.959057537035827,8.84,40.8,0.0,0.0,0.0,1,15.0,15.0
עלי בייבי,עלים ותבלינים טריים,37.60225511204742,16.565634332660434,8.84,40.8,0.703448509915456,30.022580212713788,1.173854847343219,10,15.0,15.000000000000002
עלים לבישול אחרים,עלים ותבלינים טריים,2.128369165725717,39.50380860197854,8.84,40.8,27.830941422511167,0.0,27.830941422511167,3,15.0,24.206927510877907
ערק + אניס,משקאות חריפים,742.6007133014418,29.284594447457245,28.665,54.599999999999994,2.2793525108143164,3.286109478427156,95.40919485410281,24,30.0,30.80818103566705
פופ קורן למיקרו,חטיפים מלוחים,250.8748137529534,46.37002779154693,25.2,46.800000000000004,64.7783603751443,22.401584970760833,66.09403624221096,13,55.0,71.27110634930706
פטרוזליה,עלים ותבלינים טריים,480.73164724171477,14.890899870645816,8.84,40.8,2.8736440539295387,5.301526196614846,16.880008436952043,16,15.0,15.921634458095594
פיצוחים,פיצוחים ופירות יבשים ארוזים,1440.5207508270378,51.54025264006258,45.4425,54.75,40.80796958597554,11.65295542627651,62.28855110094634,75,90.0,91.23374707066095
פירות יבשים,פיצוחים ופירות יבשים ארוזים,475.4381659988439,53.42707849925478,45.4425,54.75,24.956236447281483,18.974739127232947,28.938724943410367,59,90.0,90.75381879482256
פירות ים טריים,קצביה דגים טריים,0.03155915,53.062029942299624,40.31999999999999,54.0,0.0,0.0,0.0,1,90.0,90.0
פירות ים קפואים,דגים קפואים,209.38728146803547,54.40122821866449,53.654999999999994,54.75,13.458294397405083,38.64949399610091,15.003944114321799,14,90.0,90.41127758580852
פירות קפואים,ירקות ופירות קפואים,349.78557925684925,33.54490566539045,27.192500000000003,51.099999999999994,12.623232797069898,26.14398424342431,47.50797634668984,33,55.0,58.29571294505314
פיתות ארוזות,לחם ותחליפיו,2335.0744333241446,31.87335694050739,30.187499999999996,48.75,6.343069842770595,12.380309714026824,69.84177075012775,65,30.0,32.081645939649
פסטה,אורז קטניות פסטה תבשילים ותערובות,1456.8344009111095,51.852553991212645,47.99999999999999,56.25,37.42415060025215,6.55886205163724,80.14144465108389,68,90.0,90.92727305980196
פסטרמות ונקניקים ארוזים,מזון מקורר ארוז,2241.0478989528287,21.535,21.535000000000004,47.45,0.0,0.9382112230714597,94.1204815105459,20,55.0,55.0
פתי בר,מאפים מתוקים ומלוחים,665.5913002960746,31.719694378199762,31.390000000000004,49.64,1.3693679009600932,9.56026097087223,75.80039529026915,26,55.0,55.39746546800573
פתיתים,אורז קטניות פסטה תבשילים ותערובות,354.0949323769305,48.18559148887244,47.99999999999999,56.25,2.0210419524827103,3.398670918126447,89.84030576662025,20,90.0,90.05767165780158
קוטג,מוצרי חלב ותחליפיו,2814.010561308543,10.203355950309357,10.200000000000001,48.75,0.00870544827329329,0.0,100.0,4,15.0,14.999999999999998
קוסקוס,אורז קטניות פסטה תבשילים ותערובות,289.05146179418676,49.360546514125815,47.99999999999999,56.25,9.645480919507685,32.43893257776582,58.48768620532375,20,90.0,90.03852192557865
קופסאות שימורי בשר,שימורים,11.081276178018099,40.46672538361481,38.25,52.5,7.631463951444232,28.950369472462963,49.058111623526635,9,90.0,90.00471559007636
קורנית,עלים ותבלינים טריים,18.335096426415284,10.189168430214647,8.84,40.8,0.0,17.03331570288374,22.64973315794232,5,15.0,15.0
קטניות,אורז קטניות פסטה תבשילים ותערובות,884.8121830928835,51.14413413572872,47.99999999999999,56.25,27.237302160133677,9.813046258354042,71.46887922738776,39,90.0,90.85935842884795
קטשופ,רטבים וממרחים,637.9986765892049,34.517948090036235,28.105,47.45,32.80625804538197,0.32658047912204724,98.96182738075605,13,55.0,63.02041381434767
קמח,עזרי אפייה ובישול,1648.6205632669569,32.039488606952915,30.960000000000004,46.800000000000004,4.147690202861895,15.666216109970623,60.86160834877518,88,90.0,90.1229700982433
קפה אספרסו,קפה/קקאו,966.3276934506306,41.71587020324165,37.44,46.800000000000004,40.372572040087206,4.508960936641675,88.37669441152111,33,90.0,91.18217061336864
קפה טורקי,קפה/קקאו,1481.8081553057573,37.837580019336535,37.44,46.800000000000004,3.9712570750552003,2.6651892523919343,93.4930439526256,18,90.0,90.0983467450598
קפה נמס,קפה/קקאו,2266.6746116993295,39.34937192032331,37.44,46.800000000000004,19.835674295987644,1.3595133523042673,97.23716444882342,19,90.0,90.5505222316362
