mfr,ctg,dep,rev,mat,imp_mat,m_retail,land,role,core_dom,imp_kind,core_imp,core,identified,fx
אדן דג דטינאג פבריקה,שמן זית,שמנים,1.2205726193222175,0.7,0.55,0.22,0.8,UNK,0.455,,0.8,0.555089161290045,0.5490173683917102,55.508916129004504
"ר. שמאי יבוא ושיווק בע""מ",חומרים לכביסה,תכשירי כביסה,0.07688122163964839,0.45,0.8,0.3,0.6,IMP,0.43000000000000005,TRADER,0.72,0.72,0.832413057188076,72.0
"מ.א. בע""מ",פסטה,אורז קטניות פסטה תבשילים ותערובות,2.0314748988618656,0.6,0.95,0.25,0.75,UNK,0.6399999999999999,,0.75,0.7012232639613485,0.8014144465108388,70.12232639613485
אשר שיווק טבע בעמ,חטיפים מתוקים,בונבוניירות חטיפים מתוקים,0.13536300005723725,0.45,0.85,0.28,0.65,UNK,0.4525,,0.65,0.48886369613387104,0.9800038830019567,48.8863696133871
קמיליה,עוגות אישיות,מאפים מתוקים ומלוחים,0.194847041055,0.45,0.8,0.27,0.68,UNK,0.43000000000000005,,0.68,0.5777755627541358,0.821977844660839,57.77755627541358
מן הטבע בארותיים בעמ,קציצות מן הצומח,מזון מוכן קפוא מן הצומח,0.5586505845426617,0.5,0.85,0.28,0.65,DOM,0.495,,0.65,0.495,0.9262318401126859,49.5
"ולדמן ביח""ר לנקניק ומוצרי בשר",גבינות מיוחדות במשקל,מעדניה חלבית,0.50089822,0.55,0.12,0.28,0.65,UNK,0.136,,0.65,0.33527830792815705,0.832867370457561,33.527830792815706
"תומר בע""מ",משקאות חמוציות,משקאות לא אלכוהולים,0.07922101288308,0.45,0.7,0.28,0.65,IMP,0.385,MIXED,0.65,0.65,0.9900173842835412,65.0
"ניאופרם (יבוא) 1966 בע""מ",סבון לגוף,סבוני רחצה,0.46368148282317206,0.35,0.8,0.32,0.55,IMP,0.35,BRAND,0.45000000000000007,0.45000000000000007,0.8978319108027557,45.00000000000001
פשקסז,לקקנים,סוכריות,0.2030829481145262,0.4,0.85,0.28,0.65,UNK,0.41000000000000003,,0.65,0.5063125198481419,0.6146838495916815,50.631251984814185
פרי ניב בעמ,סוכריות לעיסות,סוכריות,0.13290031037262107,0.4,0.85,0.28,0.65,DOM,0.41000000000000003,,0.65,0.41000000000000003,0.8623676687630537,41.0
פשקסז,סוכריות לעיסות,סוכריות,0.04889153225,0.4,0.85,0.28,0.65,UNK,0.41000000000000003,,0.65,0.6505024196092363,0.8623676687630537,65.05024196092363
"קבוצת שטראוס בע""מ",סוכריות קשות,סוכריות,0.5465848116874312,0.4,0.85,0.28,0.65,DOM,0.41000000000000003,,0.65,0.41000000000000003,0.5242378215134872,41.0
אחדות למהדרין,עוף טרי ארוז,עוף/הודו טרי ארוז,0.3375212241920088,0.7,0.5,0.28,0.7,UNK,0.42,,0.7,0.5444184320744476,0.571301986456286,54.44184320744476
גורי בעמ,פיצוחים,פיצוחים ופירות יבשים ארוזים,0.16153028715823686,0.65,0.85,0.27,0.75,DOM,0.6225,,0.75,0.6225,0.6228855110094634,62.25000000000001
