ctg,dep,rev,fx_v3,p_imp,direct
סלטים מזרחיים,סלטים ארוזים,35.902471090372046,30.02193323873765,1.3749986660002729,96.06838331662172
סלק עלים,עלים ותבלינים טריים,14.733407474832278,19.944049071949877,14.774572493510371,70.25586740070321
סלרי עלים,עלים ותבלינים טריים,74.0122625185173,17.66172702343567,9.918568134969512,67.49182443564563
סלרי ראש,עלים ותבלינים טריים,8.434756250851624,18.830213536487314,12.404709652100662,70.16237012540398
עוגות אישיות,מאפים מתוקים ומלוחים,88.4952078851692,56.69719735806879,58.956331514805896,81.9701333391741
עוגות מדף ארוזות,מאפים מתוקים ומלוחים,128.5208385572883,43.66061541120923,2.511349319178414,84.43685426727734
עוגיות בייסיק,מאפים מתוקים ומלוחים,364.2498491119565,48.26171990598552,19.663507764703407,62.32591920533543
עוגיות פרימיום,מאפים מתוקים ומלוחים,476.85427091177934,53.6110914241259,50.516843510142095,94.62141746718507
עולש,עלים ותבלינים טריים,3.9090318644652955,14.0862940414906,2.311263918065107,7.156617223806752
עוף טרי ארוז,עוף/הודו טרי ארוז,1329.8580342349076,43.354482539514386,4.792562230518992,83.43358446004974
עוף קפוא,בשר ועוף קפוא,310.7034708064521,73.59960387266231,24.982949555984664,92.77685465452213
עירית,עלים ותבלינים טריים,3.1682623357600805,19.21861433733268,13.231094334750383,59.068643403249354
עישבי תיבול אחרים,עלים ותבלינים טריים,0.19333315070186002,28.17887582246264,32.295480473324766,100.0
עלי בייבי,עלים ותבלינים טריים,6.817659744727443,23.24752097083549,21.803236108160622,91.45112313074043
עלים לבישול אחרים,עלים ותבלינים טריים,0.2893432840188476,15.907342858896692,6.185835869992966,88.45810721363601
ערק + אניס,משקאות חריפים,132.46925116836712,39.1967462580361,7.03435200984463,98.01903418900682
פופ קורן למיקרו,חטיפים מלוחים,52.63889209845483,66.29043275483889,94.4356320845761,63.59229983558204
פטרוזליה,עלים ותבלינים טריים,101.5905621264593,20.665673450788976,16.30994351231697,68.66470982143296
פיצוחים,פיצוחים ופירות יבשים ארוזים,286.191056719557,64.81086641504312,24.476264735736123,68.90826508267006
פירות יבשים,פיצוחים ופירות יבשים ארוזים,107.08395002722776,66.13165240058653,37.19186818917464,64.74302701571973
פירות ים קפואים,דגים קפואים,41.1662878108866,75.61523615114614,95.15639454557194,55.55279071636754
