sample,measure,weighted,giants,phase,b,se,pc,F,pj
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",False,True,כל התקופה,0.30499166605938033,0.5788450208537491,0.5982651639462216,3.8912827331100517,1.3834004720698533e-13
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",False,True,פיחות 2/22-10/23,0.12582753191420007,0.38869031341585714,0.746148657034287,3.8935188812901074,9.714885823763321e-08
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",False,True,ייסוף 11/23-7/26,0.41900520596994967,0.7569076898063744,0.5798697107543913,2.345607171701818,0.00011500617631623458
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",True,False,כל התקופה,-1.3970868058332153,0.9729624959869735,0.15102788584278354,12.564206094222037,8.54579044820594e-47
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",True,False,פיחות 2/22-10/23,-0.29082747964508887,0.48423184398338137,0.5481094177643837,7.945006321028374,3.0375013293204366e-18
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",True,False,ייסוף 11/23-7/26,-2.1010700134074782,1.3159594051599572,0.11035333497567956,7.868635603316029,8.578055806979566e-24
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",True,True,כל התקופה,-1.2464637364522801,0.8235515785902432,0.13014702349355833,10.227653610903713,1.89268902385319e-39
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",True,True,פיחות 2/22-10/23,-0.40949821181006346,0.44767631452493595,0.36033895479928835,6.252035351516414,5.5051862788715896e-14
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",True,True,ייסוף 11/23-7/26,-1.7790781612246003,1.1001938497013715,0.10586558616468969,5.692036600579344,1.2529098129214256e-16
ללא בשר ועוף,v1 — המדד המורכב הישן,False,False,כל התקופה,0.7281439221932922,0.601037659613126,0.2257122483033298,4.169076307555307,6.265558453398174e-15
ללא בשר ועוף,v1 — המדד המורכב הישן,False,False,פיחות 2/22-10/23,0.1959060190726377,0.40330221311287423,0.6271409665299973,3.0390635281024196,1.8020032542325876e-05
ללא בשר ועוף,v1 — המדד המורכב הישן,False,False,ייסוף 11/23-7/26,1.0668407696337079,0.7828850496882407,0.17297574385004744,3.2587749435654807,6.629495152646876e-08
ללא בשר ועוף,v1 — המדד המורכב הישן,False,True,כל התקופה,0.7176776355646706,0.5966556771057152,0.2290406290925453,4.1801968532995595,5.5396053314502255e-15
ללא בשר ועוף,v1 — המדד המורכב הישן,False,True,פיחות 2/22-10/23,0.19956944396708073,0.4034616360088044,0.6208521960766822,3.0858382013885493,1.3595120627317413e-05
ללא בשר ועוף,v1 — המדד המורכב הישן,False,True,ייסוף 11/23-7/26,1.0473828483995007,0.7737450601798191,0.17584689226326156,3.368448770217702,2.646145570206768e-08
ללא בשר ועוף,v1 — המדד המורכב הישן,True,False,כל התקופה,-0.5609161451042718,1.053145047007969,0.5943032091465272,10.159065432824752,3.216117834715397e-39
ללא בשר ועוף,v1 — המדד המורכב הישן,True,False,פיחות 2/22-10/23,-0.08238940354657183,0.5392040006329141,0.8785574131385447,3.664528247360162,3.9817789571163396e-07
ללא בשר ועוף,v1 — המדד המורכב הישן,True,False,ייסוף 11/23-7/26,-0.8654331624591718,1.406586093835179,0.5383750477286916,5.794855832489184,5.540318891814871e-17
ללא בשר ועוף,v1 — המדד המורכב הישן,True,True,כל התקופה,-0.4330847685926487,0.9617788993296423,0.652497339660691,9.54678597196196,4.01414072130397e-37
ללא בשר ועוף,v1 — המדד המורכב הישן,True,True,פיחות 2/22-10/23,-0.12546919716517066,0.5298912433142283,0.8128252007810899,3.3262660243859585,3.1623985841402237e-06
ללא בשר ועוף,v1 — המדד המורכב הישן,True,True,ייסוף 11/23-7/26,-0.6288401322283166,1.263268470894055,0.6186333371966131,5.222299338829243,5.442746197021032e-15
