measure,weighted,spec,term,phase,b,se,pc,F,pj
CR3 עם מאגדים,False,עם בקרת ייבוא,ריכוזיות,2023-2024,-0.3017239768156797,0.6200442129784679,0.6265298631337561,2.1549995300056195,0.0018635389168398127
CR3 עם מאגדים,False,עם בקרת ייבוא,ריכוזיות,2025-2026,0.1808165169193205,0.8819634167698879,0.8375597084397617,0.8225088422690231,0.6793332743324598
CR3 עם מאגדים,False,עם בקרת ייבוא,ייבוא,כל התקופה,-0.002942634425426023,0.4655947564618827,0.9949572736530449,3.904441968249005,1.2408708642110747e-13
CR3 עם מאגדים,False,עם בקרת ייבוא,ייבוא,2023-2024,-0.026806640242851267,0.5075337613221472,0.9578773559633603,3.692035056928398,8.265116345361724e-08
CR3 עם מאגדים,False,עם בקרת ייבוא,ייבוא,2025-2026,0.025342866970000204,0.7897026285899978,0.9743989556426472,1.526358269323335,0.07667703028279067
HHI,True,בלי בקרת ייבוא,ריכוזיות,כל התקופה,0.3148913134560835,1.1153825621228375,0.7777005513267465,4.864788399726497,3.4004302842688202e-18
HHI,True,בלי בקרת ייבוא,ריכוזיות,2023-2024,-0.17768623251984156,1.3433936556517103,0.8947733531981888,2.355036896469676,0.0005482584672507735
HHI,True,בלי בקרת ייבוא,ריכוזיות,2025-2026,1.1359732537137248,1.5977649163088203,0.47709881947165456,2.788792374061212,0.0001456219203501386
HHI,True,עם בקרת ייבוא,ריכוזיות,כל התקופה,-0.8565084042539594,0.7731107524833137,0.2679167371691904,3.3115411812643134,9.903823513664213e-11
HHI,True,עם בקרת ייבוא,ריכוזיות,2023-2024,-1.2984948229123445,0.9296127039804333,0.16246990482575652,1.5023234177835842,0.06628744516898093
HHI,True,עם בקרת ייבוא,ריכוזיות,2025-2026,-0.8391624465300798,1.1527021619102165,0.4666160967676908,1.6209495881185507,0.05150006324898065
HHI,True,עם בקרת ייבוא,ייבוא,כל התקופה,-2.02395128919838,0.9335065306468607,0.030149793008421643,7.296171548987896,1.1303559776624673e-28
HHI,True,עם בקרת ייבוא,ייבוא,2023-2024,-1.9365396432774808,1.1056518108280684,0.07986130056478359,4.572411841084098,2.139695540588184e-10
HHI,True,עם בקרת ייבוא,ייבוא,2025-2026,-3.4126510245921766,1.3684772556145528,0.012639870868284428,4.510738449906367,8.284582490170964e-09
HHI,False,בלי בקרת ייבוא,ריכוזיות,כל התקופה,-0.01970616053458477,0.4841943708365087,0.967535967759877,1.4938113076499262,0.021893343260479748
HHI,False,בלי בקרת ייבוא,ריכוזיות,2023-2024,-0.31139557204040097,0.5579707620429325,0.5767857808275694,1.3490050963778222,0.1328937782253697
HHI,False,בלי בקרת ייבוא,ריכוזיות,2025-2026,0.3362976262930244,0.7604386170467979,0.6583143520932286,0.9655367308509637,0.5026120321863734
HHI,False,עם בקרת ייבוא,ריכוזיות,כל התקופה,-0.019151622753868704,0.4741347096539615,0.9677799799960677,1.5365334729298181,0.015364300580664021
HHI,False,עם בקרת ייבוא,ריכוזיות,2023-2024,-0.317988805514992,0.5390643201312841,0.5552642076211227,1.1965021240271108,0.24505246533293684
HHI,False,עם בקרת ייבוא,ריכוזיות,2025-2026,0.3462311621524753,0.7567922767848775,0.6473129409429823,0.8955110581627821,0.588950912088544
HHI,False,עם בקרת ייבוא,ייבוא,כל התקופה,0.0032912712654544493,0.47128662072486016,0.9944279487956276,3.9938690836771404,4.5756007242850494e-14
HHI,False,עם בקרת ייבוא,ייבוא,2023-2024,-0.03913190522813979,0.5140140528002171,0.9393156490256285,3.7976595698339417,4.0444551364110653e-08
HHI,False,עם בקרת ייבוא,ייבוא,2025-2026,0.05895713921449245,0.7968594351746525,0.9410208290764074,1.5346789229795152,0.07409306185967113
