sample,weighted,spec,term,phase,b,se,pc,F,pj
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ייבוא,לפני 2025,1.786364726613324,0.555603998071451,0.0013036449624187986,3.4049713679909317,7.098781553353091e-09
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ייבוא,מ־2025 ואילך,0.08664637305262864,0.40226016866893044,0.8294563755999884,4.686665880062723,6.23815754874495e-09
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ענקיות,כל התקופה,-1.1091780863845335,1.1290515375964372,0.32590376154851675,3.861793919251811,1.9992335762572484e-13
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ענקיות,לפני 2025,-1.944837134583435,1.4340292963948527,0.17503407744933264,3.980079379319887,4.3387856678118015e-11
"ללא בשר, עוף וחלב",True,עם ענקית ≥5% (להשוואה),ענקיות,מ־2025 ואילך,0.5621400100132694,1.329514993929096,0.6724296237571501,1.82386897724428,0.02304352168579271
פאנל מלא,False,בלי רכיב הענקיות,ריכוזיות,כל התקופה,-0.006318798561192278,0.4024638012721205,0.9874734953091974,1.5366734241957547,0.014442825230155519
פאנל מלא,False,בלי רכיב הענקיות,ריכוזיות,לפני 2025,-0.2290100465054674,0.5116633890126274,0.6544566969739538,1.663986822640981,0.01292009766857752
פאנל מלא,False,בלי רכיב הענקיות,ריכוזיות,מ־2025 ואילך,0.43906369732735806,0.436586213714193,0.31457209069249115,0.9757879517157936,0.48789988531618467
פאנל מלא,False,בלי רכיב הענקיות,ייבוא,כל התקופה,-0.01516346689121413,0.3577022459563007,0.9661867555270318,3.9847917545799962,1.8914401160098565e-14
פאנל מלא,False,בלי רכיב הענקיות,ייבוא,לפני 2025,-0.2395949506559904,0.48083565292286257,0.6182806031994468,3.1521113416423137,4.745830541870083e-08
פאנל מלא,False,בלי רכיב הענקיות,ייבוא,מ־2025 ואילך,0.43369950063833823,0.33970114482313674,0.20170501144225927,1.9375355643050522,0.013370367159510389
פאנל מלא,False,עם ענקית ≥20%,ריכוזיות,כל התקופה,0.33600418692666373,0.4027321632164099,0.404105316833718,1.1358591181737763,0.25438934063252666
פאנל מלא,False,עם ענקית ≥20%,ריכוזיות,לפני 2025,0.2598245702539657,0.5261609614358496,0.6214389930338462,1.3466627333012968,0.09750610713271333
פאנל מלא,False,עם ענקית ≥20%,ריכוזיות,מ־2025 ואילך,0.48836342027205976,0.4960522377343214,0.3248697391597495,0.8624958701385711,0.6248173186218444
פאנל מלא,False,עם ענקית ≥20%,ייבוא,כל התקופה,-0.15590108873859335,0.37852155932605314,0.6804358452439083,3.9806709876906434,1.9843506395541775e-14
פאנל מלא,False,עם ענקית ≥20%,ייבוא,לפני 2025,-0.4405672030489322,0.5065919599820984,0.384481447765202,3.176918856983727,3.7876760157823545e-08
פאנל מלא,False,עם ענקית ≥20%,ייבוא,מ־2025 ואילך,0.4134311398820844,0.3460499229300498,0.23219827989560993,1.990099782671515,0.010449467598128188
פאנל מלא,False,עם ענקית ≥20%,ענקיות,כל התקופה,-2.1124645911760513,0.9511139538730587,0.02634807745932069,3.187243363545583,2.203670776585419e-10
פאנל מלא,False,עם ענקית ≥20%,ענקיות,לפני 2025,-3.016583351460833,1.240687396746708,0.015041402182634786,3.3752825379213007,6.2070202743191725e-09
פאנל מלא,False,עם ענקית ≥20%,ענקיות,מ־2025 ואילך,-0.3042270706064868,0.9559967868644379,0.7503103088836937,2.019186164396427,0.009104230713677799
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ריכוזיות,כל התקופה,0.15935423178491404,0.39681821327542266,0.6879932000713895,1.296115355117908,0.09434331601390629
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ריכוזיות,לפני 2025,-0.012800011161472198,0.5037922480983342,0.9797300720024567,1.4623356298857901,0.04912309329682132
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ריכוזיות,מ־2025 ואילך,0.5036627176776864,0.46792432529057837,0.2817589364324291,0.8536051352254194,0.6356485294833065
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ייבוא,כל התקופה,-0.07596312820274917,0.35417152377734396,0.8301718375778968,4.055711616349349,8.295131201125586e-15
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ייבוא,לפני 2025,-0.31894097875478933,0.4753844802581673,0.502276824051967,3.2053792455080017,2.9236039390097428e-08
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ייבוא,מ־2025 ואילך,0.40999257290133123,0.3414056598014891,0.229791680552775,2.0508237047042073,0.007828280847627187
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ענקיות,כל התקופה,-1.973862471389589,0.8514099870022888,0.020430554043802583,2.46382484083397,1.0026810644056543e-06
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ענקיות,לפני 2025,-2.575970716607107,1.0805315633419552,0.017126314316619748,2.1990207138268643,0.00020662067621374328
פאנל מלא,False,עם ענקית ≥5% (להשוואה),ענקיות,מ־2025 ואילך,-0.769645980954553,0.9003504697343132,0.3926456432367812,1.5652445856677706,0.06841105705146866
פאנל מלא,True,בלי רכיב הענקיות,ריכוזיות,כל התקופה,-0.16623434023796685,0.4599832654600954,0.7178063171137856,5.351111443549787,3.726660906893864e-21
פאנל מלא,True,בלי רכיב הענקיות,ריכוזיות,לפני 2025,-0.36748999131316923,0.5847944011076528,0.5297361250858403,3.675839591697471,3.9645345956677306e-10
פאנל מלא,True,בלי רכיב הענקיות,ריכוזיות,מ־2025 ואילך,0.236276961912438,0.518430434678105,0.6485665840991925,2.513242714342386,0.0007734260117011647
פאנל מלא,True,בלי רכיב הענקיות,ייבוא,כל התקופה,0.9840022026946518,0.37911087005665023,0.009443894791444496,7.890784088261897,2.409378967086667e-32
