yr,ctg,rev,n_named,bucket_pct,cr3
2022,תחליפי חלב וטופו,159.5,23,3.31,86.03
2022,תחליפי חלב אם צמחי,28.72,2,,100.0
2022,מים מועשרים,117.17,5,0.97,98.42
2022,סבון מוצק,36.05,14,2.98,82.52
2022,סוכריות מרשמלו,24.17,13,21.17,71.04
2022,הודו טרי ארוז,58.24,11,32.27,54.57
2022,סלרי עלים,73.91,30,9.92,41.61
2022,עולש,3.91,3,32.49,67.51
2024,שמפו לגבר,2.54,4,,95.36
2025,תה פרימיום,0.62,2,,100.0
2022,אורגנו,0.59,4,41.91,50.54
2022,עלים לבישול אחרים,0.29,3,,100.0
2023,חטיפים אפויים,107.15,32,11.95,70.29
2023,יוגורט,1143.91,25,0.36,94.47
2023,מיכלי שמנת מתוקה,429.6,10,0.78,95.01
2023,מסטיקים ללא סוכר,251.95,5,1.02,98.9
2023,מסטיקים עם סוכר,6.87,7,,91.47
2023,משקאות ברנדי/קוניאק,18.86,17,0.43,52.41
2023,ניקוי אסלות,107.12,19,12.7,74.49
2023,תכשירי ניקוי שטיחים,8.37,5,0.92,85.1
2023,סבון רחצה לגבר,48.34,10,4.19,79.14
2023,לקקנים,27.9,25,8.47,76.41
2023,נענע,27.76,19,18.4,44.96
2023,עירית,3.34,12,17.91,47.51
2023,עלי בייבי,8.36,11,46.24,33.61
2023,קפה אספרסו,199.48,23,12.83,65.54
2023,קפה נמס,456.16,10,3.53,91.81
2023,שימורי זיתים ירוקים/מיקס,158.89,21,18.43,68.8
2023,תה אדום,0.25,1,,100.0
2023,תה ירוק,86.39,24,23.14,68.77
2023,תה פירות,0.89,10,0.12,59.23
2023,בשר ועוף מעובד,89.23,15,25.86,58.43
2023,מוצרי בשר על האש,309.76,37,11.73,63.87
2023,דאודורנט לגברים,170.15,19,10.21,58.01
2024,משקה קולה דיאט,591.31,5,0.02,99.91
2024,חסה,324.6,45,30.02,30.07
2024,מגבונים לחים,398.32,31,38.21,49.09
2024,פתיתים,80.36,13,10.2,85.86
2023,תכשירים לפתיחת סתימות,11.66,3,12.2,87.8
2023,תה בריאות,2.51,1,,100.0
2024,חזה בגריל צמחוני,6.11,1,,100.0
2024,דייסות,19.1,3,,100.0
2022,תחליף קפה,1.72,5,,89.61
2022,בשר טחון טרי,385.37,7,90.68,8.5
2022,דגי פילה טריים,266.45,8,61.62,37.48
2022,דגים טריים סטנדרט,57.41,12,21.61,73.19
2022,טבלאות שוקולד לבן בודד,25.41,19,4.15,78.63
2022,תה שחור טהור,36.17,19,3.89,92.0
2022,בורקס,130.11,16,12.86,77.61
2026,בייגלה,133.71,26,11.79,73.17
2026,קרם עיניים,2.08,4,,92.36
2026,יינות מתוקים,21.84,10,2.56,84.52
2026,פיתות ארוזות,356.77,63,14.93,43.09
2026,מעדנים,385.24,6,,97.87
2026,משקאות תחליפי חלב עמיד,60.56,16,11.79,82.69
2026,קוטג,403.51,3,,100.0
2026,לאבנה מעדניה,3.62,4,,91.42
2026,אורגנו,1.48,4,59.03,37.25
2026,בזיליקום,17.9,22,24.74,34.2
2026,סלרי עלים,54.41,26,16.32,45.57
2026,פטרוזליה,62.11,27,38.33,35.5
2026,פיצוחים,204.1,58,24.42,46.01
2026,תחליף קפה,1.06,3,,100.0
2026,דגים טריים ארוזים,17.17,3,28.84,71.16
2026,ממרחים מתוקים,230.24,42,3.25,67.67
2026,שימורי זיתים שחורים,20.8,12,10.75,75.78
2026,שמנים רגילים,328.4,53,29.28,41.71
2026,תה שחור טהור,19.44,17,0.95,95.55
2026,אביזרי טיפול לתינוק,2.73,9,10.52,55.38
2026,היגיינת השיער,0.02,1,,100.0
2022,קרם עיניים,0.97,3,,100.0
2024,עוף קפוא,306.93,26,10.82,65.81
2024,ירקות קפואים,732.09,36,25.2,56.85
2024,לחם חשוף,69.08,9,17.99,77.93
2024,מעדנים,625.48,6,0.08,97.57
2024,ערק + אניס,172.77,18,1.05,92.21
2024,שימורי ירקות,233.05,33,8.35,82.23
2025,מגבונים לחים,419.02,26,40.26,48.59
2025,אורז,375.62,37,14.75,70.26
2025,פתיתים,76.62,11,7.09,87.97
2025,קוסקוס,61.82,18,12.65,75.49
2025,לחם ארוז מיוחד,578.1,65,5.13,66.79
2025,וופלים,324.57,43,16.89,56.93
2025,גבינות מותכות מדף,54.96,13,0.14,71.76
2025,חלב,1773.88,10,1.06,91.31
2025,פסטרמות ונקניקים ארוזים,516.51,14,3.96,85.45
2025,מים בבקבוק,670.47,12,1.32,98.08
2025,סודה,236.55,13,0.31,99.35
2025,תה קר,168.14,6,0.09,99.71
2025,סוכריות אחרות,13.81,15,9.97,74.19
2025,בצל ירוק,65.32,25,23.05,42.64
2025,חומץ/מיץ לימון,102.47,40,7.27,73.74
2025,מיץ טבעי סחוט מקורר,203.68,7,1.87,96.43
2022,חלב,1461.93,9,2.86,96.35
2022,כריכים,52.71,4,4.69,94.24
2022,מים בבקבוק,588.39,15,0.32,99.2
2022,סבון נוזלי לידיים/משאבה,91.67,21,25.12,46.76
2022,סלטי ירקות,106.66,22,8.99,70.98
2022,סלטים מזרחיים,35.9,10,3.14,90.0
2022,חלקי פנים עוף/הודו טרי ארוז,52.76,13,14.45,57.04
2024,לאבנה מעדניה,6.93,5,8.14,82.8
2024,ממרחים מתוקים,340.77,40,4.99,65.88
2024,תבלינים בשקית,63.98,15,19.77,68.99
