weighted,term,month,b,se
False,ייבוא,2025-11,0.6627659165296826,0.717918917219192
False,ייבוא,2025-12,0.5708927483285137,0.531843984930251
False,ייבוא,2026-01,0.4099735069478194,0.4923123326144209
False,ייבוא,2026-02,1.1057867908925267,0.7266954583595147
False,ייבוא,2026-03,2.050761891740971,0.7497195128844929
False,ייבוא,2026-04,1.003557776878003,0.638275136865959
False,ייבוא,2026-05,1.6395007973806526,0.6995895263098041
False,ייבוא,2026-06,-0.8255272121813484,1.5245452034100764
False,ייבוא,2026-07,0.10286156891265881,0.6745931557191522
True,ריכוזיות,2025-02,0.17166509230611485,0.33924351291802884
True,ריכוזיות,2025-03,-0.20354124059137613,0.558975646137868
True,ריכוזיות,2025-04,-0.19584639253622318,0.8300002742668884
True,ריכוזיות,2025-05,1.1178709135748033,0.7415323755972167
True,ריכוזיות,2025-06,0.8425440575686959,0.5758773316584305
True,ריכוזיות,2025-07,1.8441797876839416,0.9448871448282627
True,ריכוזיות,2025-08,1.3545602608703617,0.7806700959442566
True,ריכוזיות,2025-09,1.7152784228212303,0.9170596148298331
True,ריכוזיות,2025-10,1.138266187457737,0.8363295725276736
True,ריכוזיות,2025-11,1.4269606790776546,0.9142615295449852
True,ריכוזיות,2025-12,0.9711806007935003,0.8956556019994053
True,ריכוזיות,2026-01,0.5832540951598297,0.8493211908514
True,ריכוזיות,2026-02,1.092672252655784,0.9383900638497388
True,ריכוזיות,2026-03,-0.3020306731981254,1.0985013396271546
True,ריכוזיות,2026-04,0.5557290744461152,0.8920279850419023
True,ריכוזיות,2026-05,0.8126300997290038,0.9266583928365393
True,ריכוזיות,2026-06,1.0676752298234256,0.9495708159463622
True,ריכוזיות,2026-07,1.1725741832704337,0.9708601446211711
True,ענקיות,2025-02,0.07463415380806193,0.7966510812415971
True,ענקיות,2025-03,-0.23377584816370867,1.1423813604621411
True,ענקיות,2025-04,-0.4708386118731478,1.5170125240116528
True,ענקיות,2025-05,-2.1845242126267927,1.4228045005368184
True,ענקיות,2025-06,0.8249798844046391,1.341947685832621
True,ענקיות,2025-07,-0.8276348979202458,1.809662890611457
True,ענקיות,2025-08,0.06310526380416959,1.5551198122952061
True,ענקיות,2025-09,-1.291542296384915,1.853938462275848
True,ענקיות,2025-10,0.5483519445524387,1.933305376922436
True,ענקיות,2025-11,0.9582277838328879,2.131836402241787
True,ענקיות,2025-12,1.6034808591409684,1.929591305765546
True,ענקיות,2026-01,0.5756473384949196,1.5443949921905493
True,ענקיות,2026-02,-0.5835630213958165,1.6749040895805756
True,ענקיות,2026-03,0.6968379923135704,2.062328943577199
True,ענקיות,2026-04,0.44745439396010334,1.8359018667806288
True,ענקיות,2026-05,-1.1570456618156673,1.7363152699147768
True,ענקיות,2026-06,1.2533995118610155,2.069899344393136
True,ענקיות,2026-07,0.03381243679078834,1.9161335594153999
True,ייבוא,2025-02,0.39783509746137147,0.2740081026189371
True,ייבוא,2025-03,0.5160144366122582,0.4534792182364206
True,ייבוא,2025-04,1.315347898339228,0.4934760526884337
True,ייבוא,2025-05,1.0741068561871652,0.464611863521985
True,ייבוא,2025-06,0.7330099668456491,0.4746485846786764
True,ייבוא,2025-07,0.3976709183291183,0.6260284707089515
True,ייבוא,2025-08,0.4424078798471731,0.5608141977872334
True,ייבוא,2025-09,0.3613438615927264,0.7148445328474864
True,ייבוא,2025-10,0.4722082356853896,0.7565347923004956
True,ייבוא,2025-11,0.2642155639979049,0.8510458189621848
True,ייבוא,2025-12,0.6223620035447991,0.6739148496630574
True,ייבוא,2026-01,-0.19813718605768138,0.5994515511652111
True,ייבוא,2026-02,0.22473187972787412,0.6773285034085421
True,ייבוא,2026-03,1.4367989751658872,0.7256497632482034
True,ייבוא,2026-04,0.8218121547708818,0.6501908319954084
True,ייבוא,2026-05,1.5151449107520742,0.6256358569100431
True,ייבוא,2026-06,0.4973937486032254,0.8122671867376493
True,ייבוא,2026-07,-0.36711463126311067,0.7224044369096153
