month,high,high_w,low,low_w,gap,gap_w
2024-08,112.00383919477643,111.90909414370074,112.37353746733605,112.71424181500865,-0.3696982725596172,-0.8051476713079069
2024-09,110.33862245974704,110.51459254146093,110.16105099834238,111.09789084116142,0.17757146140466773,-0.5832982997004876
2024-10,111.20566221954313,111.69211766040075,114.08702172975889,113.59856437145017,-2.881359510215759,-1.906446711049412
2024-11,111.8551578186398,112.60126515602143,112.7657297352307,113.26581598387295,-0.9105719165909107,-0.664550827851528
2024-12,112.20018332411374,112.63441777463501,112.73865955976923,113.1651016674313,-0.5384762356554944,-0.53068389279629
2025-01,113.35270729451882,113.76806039991465,113.76629633478458,113.81949274417795,-0.41358904026576226,-0.05143234426330423
2025-02,113.58362269063338,114.45730890815045,113.65425899443078,114.45489720241868,-0.07063630379740005,0.00241170573177385
2025-03,114.78005760464293,114.71149693745863,115.18383582844854,115.91897169881997,-0.40377822380560247,-1.2074747613613397
2025-04,114.05208491808108,114.32019211794162,115.15618237722502,116.53747530764113,-1.1040974591439436,-2.217283189699515
2025-05,112.84051546439022,113.43589601894975,115.26868593172652,114.31127894868747,-2.428170467336301,-0.8753829297377251
2025-06,115.78787520203437,117.20288022171184,116.25052263392818,115.74752218027184,-0.46264743189381363,1.4553580414399931
2025-07,115.88064125729834,116.5606155766555,115.20617861768649,114.7548385114545,0.6744626396118463,1.8057770652009992
2025-08,115.55358359769062,116.19495136120494,116.08737999283312,115.24954818870923,-0.5337963951425024,0.9454031724957161
2025-09,114.5306255574824,115.23062365775594,112.77031901533461,113.16577192708415,1.760306542147788,2.0648517306717906
2025-10,115.91489109450981,116.47771395443468,114.46229018756966,115.12297744188255,1.4526009069401482,1.3547365125521225
2025-11,115.91350214344722,116.98116896863884,114.2574874921984,113.76343330655503,1.6560146512488245,3.217735662083811
2025-12,115.83268056580593,116.8086750027691,114.14845220119567,114.28510941148791,1.684228364610263,2.523565591281198
2026-01,115.81778040291142,116.33666943018758,115.01704870124463,115.22363062123475,0.8007317016667912,1.1130388089528367
2026-02,116.08267343828665,116.80331714113765,115.28952926348468,115.6814981487625,0.7931441748019665,1.1218189923751538
2026-03,115.94566338272041,115.79687825676032,116.21715256805194,117.79369091542856,-0.2714891853315322,-1.996812658668233
2026-04,116.60003867238902,117.3185918007532,116.9946114003853,118.1119268465574,-0.39457272799627674,-0.7933350458041986
2026-05,116.65169861635285,117.59399760470433,116.97805072960954,118.67617332120817,-0.32635211325668934,-1.0821757165038406
2026-06,117.47210913428098,118.72367753140777,118.86874854063893,116.94615680625098,-1.3966394063579486,1.7775207251567906
2026-07,116.3951837982555,117.3439448107453,116.62053486962974,115.65032867206672,-0.22535107137423438,1.6936161386785784
